trip_id,template_trip_id,source_trip_number,train_id,service_date,departure_time,arrival_time,origin,destination,distance_km,requires_cleaning_after
TRIP-000017,TURNOVER-017,704,EVS360-008,2032-01-05,2032-01-05T09:00,2032-01-05T11:20,Moscow,Saint Petersburg,679,false
TRIP-000018,TURNOVER-018,722,EVS360-009,2032-01-05,2032-01-05T09:30,2032-01-05T11:50,Moscow,Saint Petersburg,679,false
TRIP-000019,TURNOVER-019,727,EVS360-030,2032-01-05,2032-01-05T09:30,2032-01-05T11:50,Saint Petersburg,Moscow,679,false
TRIP-000020,TURNOVER-020,745,EVS360-031,2032-01-05,2032-01-05T10:00,2032-01-05T12:10,Saint Petersburg,Moscow,679,false
TRIP-000021,TURNOVER-021,754,EVS360-010,2032-01-05,2032-01-05T10:00,2032-01-05T12:10,Moscow,Saint Petersburg,679,false
TRIP-000022,TURNOVER-022,713,EVS360-032,2032-01-05,2032-01-05T10:15,2032-01-05T12:35,Saint Petersburg,Moscow,679,false
TRIP-000023,TURNOVER-023,742,EVS360-011,2032-01-05,2032-01-05T10:15,2032-01-05T12:35,Moscow,Saint Petersburg,679,false
TRIP-000024,TURNOVER-024,718,EVS360-012,2032-01-05,2032-01-05T10:30,2032-01-05T12:50,Moscow,Saint Petersburg,679,false
TRIP-000025,TURNOVER-025,749,EVS360-033,2032-01-05,2032-01-05T10:30,2032-01-05T12:50,Saint Petersburg,Moscow,679,false
TRIP-000026,TURNOVER-026,757,EVS360-034,2032-01-05,2032-01-05T11:00,2032-01-05T13:20,Saint Petersburg,Moscow,679,false
TRIP-000027,TURNOVER-027,762,EVS360-013,2032-01-05,2032-01-05T11:00,2032-01-05T13:20,Moscow,Saint Petersburg,679,false
TRIP-000028,TURNOVER-028,707,EVS360-035,2032-01-05,2032-01-05T11:30,2032-01-05T13:50,Saint Petersburg,Moscow,679,false
TRIP-000029,TURNOVER-029,778,EVS360-014,2032-01-05,2032-01-05T11:30,2032-01-05T13:50,Moscow,Saint Petersburg,679,false
TRIP-000030,TURNOVER-030,705,EVS360-036,2032-01-05,2032-01-05T12:00,2032-01-05T14:10,Saint Petersburg,Moscow,679,false
TRIP-000031,TURNOVER-031,706,EVS360-015,2032-01-05,2032-01-05T12:00,2032-01-05T14:10,Moscow,Saint Petersburg,679,false
TRIP-000032,TURNOVER-032,714,EVS360-016,2032-01-05,2032-01-05T12:30,2032-01-05T14:50,Moscow,Saint Petersburg,679,false
TRIP-000033,TURNOVER-033,723,EVS360-037,2032-01-05,2032-01-05T12:30,2032-01-05T14:50,Saint Petersburg,Moscow,679,false
TRIP-000034,TURNOVER-034,748,EVS360-017,2032-01-05,2032-01-05T13:00,2032-01-05T15:20,Moscow,Saint Petersburg,679,false
TRIP-000035,TURNOVER-035,755,EVS360-038,2032-01-05,2032-01-05T13:00,2032-01-05T15:20,Saint Petersburg,Moscow,679,false
TRIP-000036,TURNOVER-036,784,EVS360-018,2032-01-05,2032-01-05T13:30,2032-01-05T15:50,Moscow,Saint Petersburg,679,false
TRIP-000037,TURNOVER-037,763,EVS360-039,2032-01-05,2032-01-05T14:00,2032-01-05T16:10,Saint Petersburg,Moscow,679,false
TRIP-000038,TURNOVER-038,766,EVS360-019,2032-01-05,2032-01-05T14:00,2032-01-05T16:10,Moscow,Saint Petersburg,679,false
TRIP-000039,TURNOVER-039,769,EVS360-001,2032-01-05,2032-01-05T14:30,2032-01-05T16:50,Saint Petersburg,Moscow,679,false
TRIP-000040,TURNOVER-040,776,EVS360-020,2032-01-05,2032-01-05T14:30,2032-01-05T16:50,Moscow,Saint Petersburg,679,false
TRIP-000041,TURNOVER-041,743,EVS360-002,2032-01-05,2032-01-05T15:00,2032-01-05T17:20,Saint Petersburg,Moscow,679,false
TRIP-000042,TURNOVER-042,752,EVS360-021,2032-01-05,2032-01-05T15:00,2032-01-05T17:20,Moscow,Saint Petersburg,679,false
TRIP-000043,TURNOVER-043,747,EVS360-003,2032-01-05,2032-01-05T16:00,2032-01-05T18:10,Saint Petersburg,Moscow,679,false
TRIP-000044,TURNOVER-044,756,EVS360-022,2032-01-05,2032-01-05T16:00,2032-01-05T18:10,Moscow,Saint Petersburg,679,false
TRIP-000045,TURNOVER-045,772,EVS360-023,2032-01-05,2032-01-05T16:30,2032-01-05T18:50,Moscow,Saint Petersburg,679,false
TRIP-000046,TURNOVER-046,775,EVS360-004,2032-01-05,2032-01-05T16:30,2032-01-05T18:50,Saint Petersburg,Moscow,679,false
TRIP-000047,TURNOVER-047,767,EVS360-005,2032-01-05,2032-01-05T17:00,2032-01-05T19:20,Saint Petersburg,Moscow,679,false
TRIP-000048,TURNOVER-048,764,EVS360-024,2032-01-05,2032-01-05T17:30,2032-01-05T19:50,Moscow,Saint Petersburg,679,false
TRIP-000049,TURNOVER-049,777,EVS360-006,2032-01-05,2032-01-05T17:30,2032-01-05T19:50,Saint Petersburg,Moscow,679,false
TRIP-000050,TURNOVER-050,708,EVS360-025,2032-01-05,2032-01-05T18:00,2032-01-05T20:10,Moscow,Saint Petersburg,679,false
TRIP-000051,TURNOVER-051,729,EVS360-007,2032-01-05,2032-01-05T18:00,2032-01-05T20:10,Saint Petersburg,Moscow,679,false
TRIP-000052,TURNOVER-052,720,EVS360-026,2032-01-05,2032-01-05T18:15,2032-01-05T20:35,Moscow,Saint Petersburg,679,false
TRIP-000053,TURNOVER-053,781,EVS360-008,2032-01-05,2032-01-05T18:15,2032-01-05T20:35,Saint Petersburg,Moscow,679,false
TRIP-000054,TURNOVER-054,711,EVS360-009,2032-01-05,2032-01-05T18:30,2032-01-05T20:50,Saint Petersburg,Moscow,679,false
TRIP-000055,TURNOVER-055,724,EVS360-027,2032-01-05,2032-01-05T18:30,2032-01-05T20:50,Moscow,Saint Petersburg,679,false
TRIP-000056,TURNOVER-056,733,EVS360-010,2032-01-05,2032-01-05T19:00,2032-01-05T21:20,Saint Petersburg,Moscow,679,false
TRIP-000057,TURNOVER-057,740,EVS360-028,2032-01-05,2032-01-05T19:00,2032-01-05T21:20,Moscow,Saint Petersburg,679,false
TRIP-000058,TURNOVER-058,779,EVS360-011,2032-01-05,2032-01-05T19:30,2032-01-05T21:50,Saint Petersburg,Moscow,679,false
TRIP-000059,TURNOVER-059,782,EVS360-029,2032-01-05,2032-01-05T19:30,2032-01-05T21:50,Moscow,Saint Petersburg,679,false
TRIP-000060,TURNOVER-060,759,EVS360-012,2032-01-05,2032-01-05T20:00,2032-01-05T22:10,Saint Petersburg,Moscow,679,false
TRIP-000061,TURNOVER-061,768,EVS360-030,2032-01-05,2032-01-05T20:00,2032-01-05T22:10,Moscow,Saint Petersburg,679,false
TRIP-000062,TURNOVER-062,744,EVS360-031,2032-01-05,2032-01-05T20:15,2032-01-05T22:35,Moscow,Saint Petersburg,679,false
TRIP-000063,TURNOVER-063,710,EVS360-032,2032-01-05,2032-01-05T20:30,2032-01-05T22:50,Moscow,Saint Petersburg,679,false
TRIP-000064,TURNOVER-064,751,EVS360-013,2032-01-05,2032-01-05T20:30,2032-01-05T22:50,Saint Petersburg,Moscow,679,false
TRIP-000065,TURNOVER-065,730,EVS360-033,2032-01-05,2032-01-05T21:00,2032-01-05T23:20,Moscow,Saint Petersburg,679,false
TRIP-000066,TURNOVER-066,771,EVS360-014,2032-01-05,2032-01-05T21:00,2032-01-05T23:20,Saint Petersburg,Moscow,679,false
TRIP-000067,TURNOVER-067,716,EVS360-034,2032-01-05,2032-01-05T21:30,2032-01-05T23:50,Moscow,Saint Petersburg,679,false
TRIP-000068,TURNOVER-068,725,EVS360-015,2032-01-05,2032-01-05T21:30,2032-01-05T23:50,Saint Petersburg,Moscow,679,false
TRIP-000069,TURNOVER-069,736,EVS360-035,2032-01-05,2032-01-05T22:00,2032-01-06T00:10,Moscow,Saint Petersburg,679,false
TRIP-000070,TURNOVER-070,739,EVS360-016,2032-01-05,2032-01-05T22:00,2032-01-06T00:10,Saint Petersburg,Moscow,679,false
TRIP-000071,TURNOVER-001,701,EVS360-017,2032-01-06,2032-01-06T06:00,2032-01-06T08:10,Saint Petersburg,Moscow,679,false
TRIP-000072,TURNOVER-002,702,EVS360-036,2032-01-06,2032-01-06T06:00,2032-01-06T08:10,Moscow,Saint Petersburg,679,false
TRIP-000073,TURNOVER-003,715,EVS360-018,2032-01-06,2032-01-06T06:15,2032-01-06T08:35,Saint Petersburg,Moscow,679,false
TRIP-000074,TURNOVER-004,726,EVS360-037,2032-01-06,2032-01-06T06:15,2032-01-06T08:35,Moscow,Saint Petersburg,679,false
TRIP-000075,TURNOVER-005,712,EVS360-038,2032-01-06,2032-01-06T06:30,2032-01-06T08:50,Moscow,Saint Petersburg,679,false
TRIP-000076,TURNOVER-006,721,EVS360-019,2032-01-06,2032-01-06T06:30,2032-01-06T08:50,Saint Petersburg,Moscow,679,false
TRIP-000077,TURNOVER-007,746,EVS360-039,2032-01-06,2032-01-06T07:00,2032-01-06T09:20,Moscow,Saint Petersburg,679,false
TRIP-000078,TURNOVER-008,753,EVS360-020,2032-01-06,2032-01-06T07:00,2032-01-06T09:20,Saint Petersburg,Moscow,679,false
TRIP-000079,TURNOVER-009,741,EVS360-021,2032-01-06,2032-01-06T07:15,2032-01-06T09:35,Saint Petersburg,Moscow,679,false
TRIP-000080,TURNOVER-010,735,EVS360-022,2032-01-06,2032-01-06T07:30,2032-01-06T09:50,Saint Petersburg,Moscow,679,false
TRIP-000081,TURNOVER-011,750,EVS360-001,2032-01-06,2032-01-06T07:30,2032-01-06T09:50,Moscow,Saint Petersburg,679,false
TRIP-000082,TURNOVER-012,758,EVS360-002,2032-01-06,2032-01-06T08:00,2032-01-06T10:10,Moscow,Saint Petersburg,679,false
TRIP-000083,TURNOVER-013,761,EVS360-023,2032-01-06,2032-01-06T08:00,2032-01-06T10:10,Saint Petersburg,Moscow,679,false
TRIP-000084,TURNOVER-014,773,EVS360-024,2032-01-06,2032-01-06T08:30,2032-01-06T10:50,Saint Petersburg,Moscow,679,false
TRIP-000085,TURNOVER-015,774,EVS360-003,2032-01-06,2032-01-06T08:30,2032-01-06T10:50,Moscow,Saint Petersburg,679,false
TRIP-000086,TURNOVER-016,703,EVS360-025,2032-01-06,2032-01-06T09:00,2032-01-06T11:20,Saint Petersburg,Moscow,679,false
TRIP-000087,TURNOVER-017,704,EVS360-004,2032-01-06,2032-01-06T09:00,2032-01-06T11:20,Moscow,Saint Petersburg,679,false
TRIP-000088,TURNOVER-018,722,EVS360-005,2032-01-06,2032-01-06T09:30,2032-01-06T11:50,Moscow,Saint Petersburg,679,false
TRIP-000089,TURNOVER-019,727,EVS360-026,2032-01-06,2032-01-06T09:30,2032-01-06T11:50,Saint Petersburg,Moscow,679,false
TRIP-000090,TURNOVER-020,745,EVS360-027,2032-01-06,2032-01-06T10:00,2032-01-06T12:10,Saint Petersburg,Moscow,679,false
TRIP-000091,TURNOVER-021,754,EVS360-006,2032-01-06,2032-01-06T10:00,2032-01-06T12:10,Moscow,Saint Petersburg,679,false
TRIP-000092,TURNOVER-022,713,EVS360-028,2032-01-06,2032-01-06T10:15,2032-01-06T12:35,Saint Petersburg,Moscow,679,false
TRIP-000093,TURNOVER-023,742,EVS360-007,2032-01-06,2032-01-06T10:15,2032-01-06T12:35,Moscow,Saint Petersburg,679,false
TRIP-000094,TURNOVER-024,718,EVS360-008,2032-01-06,2032-01-06T10:30,2032-01-06T12:50,Moscow,Saint Petersburg,679,false
TRIP-000095,TURNOVER-025,749,EVS360-029,2032-01-06,2032-01-06T10:30,2032-01-06T12:50,Saint Petersburg,Moscow,679,false
TRIP-000096,TURNOVER-026,757,EVS360-030,2032-01-06,2032-01-06T11:00,2032-01-06T13:20,Saint Petersburg,Moscow,679,false
TRIP-000097,TURNOVER-027,762,EVS360-009,2032-01-06,2032-01-06T11:00,2032-01-06T13:20,Moscow,Saint Petersburg,679,false
TRIP-000098,TURNOVER-028,707,EVS360-031,2032-01-06,2032-01-06T11:30,2032-01-06T13:50,Saint Petersburg,Moscow,679,false
TRIP-000099,TURNOVER-029,778,EVS360-010,2032-01-06,2032-01-06T11:30,2032-01-06T13:50,Moscow,Saint Petersburg,679,false
TRIP-000100,TURNOVER-030,705,EVS360-032,2032-01-06,2032-01-06T12:00,2032-01-06T14:10,Saint Petersburg,Moscow,679,false
TRIP-000101,TURNOVER-031,706,EVS360-011,2032-01-06,2032-01-06T12:00,2032-01-06T14:10,Moscow,Saint Petersburg,679,false
TRIP-000102,TURNOVER-032,714,EVS360-012,2032-01-06,2032-01-06T12:30,2032-01-06T14:50,Moscow,Saint Petersburg,679,false
TRIP-000103,TURNOVER-033,723,EVS360-033,2032-01-06,2032-01-06T12:30,2032-01-06T14:50,Saint Petersburg,Moscow,679,false
TRIP-000104,TURNOVER-034,748,EVS360-013,2032-01-06,2032-01-06T13:00,2032-01-06T15:20,Moscow,Saint Petersburg,679,false
TRIP-000105,TURNOVER-035,755,EVS360-034,2032-01-06,2032-01-06T13:00,2032-01-06T15:20,Saint Petersburg,Moscow,679,false
TRIP-000106,TURNOVER-036,784,EVS360-014,2032-01-06,2032-01-06T13:30,2032-01-06T15:50,Moscow,Saint Petersburg,679,false
TRIP-000107,TURNOVER-037,763,EVS360-035,2032-01-06,2032-01-06T14:00,2032-01-06T16:10,Saint Petersburg,Moscow,679,false
TRIP-000108,TURNOVER-038,766,EVS360-015,2032-01-06,2032-01-06T14:00,2032-01-06T16:10,Moscow,Saint Petersburg,679,false
TRIP-000109,TURNOVER-039,769,EVS360-036,2032-01-06,2032-01-06T14:30,2032-01-06T16:50,Saint Petersburg,Moscow,679,false
TRIP-000110,TURNOVER-040,776,EVS360-016,2032-01-06,2032-01-06T14:30,2032-01-06T16:50,Moscow,Saint Petersburg,679,false
TRIP-000111,TURNOVER-041,743,EVS360-037,2032-01-06,2032-01-06T15:00,2032-01-06T17:20,Saint Petersburg,Moscow,679,false
TRIP-000112,TURNOVER-042,752,EVS360-017,2032-01-06,2032-01-06T15:00,2032-01-06T17:20,Moscow,Saint Petersburg,679,false
TRIP-000113,TURNOVER-043,747,EVS360-038,2032-01-06,2032-01-06T16:00,2032-01-06T18:10,Saint Petersburg,Moscow,679,false
TRIP-000114,TURNOVER-044,756,EVS360-018,2032-01-06,2032-01-06T16:00,2032-01-06T18:10,Moscow,Saint Petersburg,679,false
TRIP-000115,TURNOVER-045,772,EVS360-019,2032-01-06,2032-01-06T16:30,2032-01-06T18:50,Moscow,Saint Petersburg,679,false
TRIP-000116,TURNOVER-046,775,EVS360-039,2032-01-06,2032-01-06T16:30,2032-01-06T18:50,Saint Petersburg,Moscow,679,false
TRIP-000117,TURNOVER-047,767,EVS360-001,2032-01-06,2032-01-06T17:00,2032-01-06T19:20,Saint Petersburg,Moscow,679,true
TRIP-000118,TURNOVER-048,764,EVS360-020,2032-01-06,2032-01-06T17:30,2032-01-06T19:50,Moscow,Saint Petersburg,679,false
TRIP-000119,TURNOVER-049,777,EVS360-002,2032-01-06,2032-01-06T17:30,2032-01-06T19:50,Saint Petersburg,Moscow,679,true
TRIP-000120,TURNOVER-050,708,EVS360-021,2032-01-06,2032-01-06T18:00,2032-01-06T20:10,Moscow,Saint Petersburg,679,true
TRIP-000121,TURNOVER-051,729,EVS360-003,2032-01-06,2032-01-06T18:00,2032-01-06T20:10,Saint Petersburg,Moscow,679,true
TRIP-000122,TURNOVER-052,720,EVS360-022,2032-01-06,2032-01-06T18:15,2032-01-06T20:35,Moscow,Saint Petersburg,679,true
TRIP-000123,TURNOVER-053,781,EVS360-004,2032-01-06,2032-01-06T18:15,2032-01-06T20:35,Saint Petersburg,Moscow,679,true
TRIP-000124,TURNOVER-054,711,EVS360-005,2032-01-06,2032-01-06T18:30,2032-01-06T20:50,Saint Petersburg,Moscow,679,true
TRIP-000125,TURNOVER-055,724,EVS360-023,2032-01-06,2032-01-06T18:30,2032-01-06T20:50,Moscow,Saint Petersburg,679,true
TRIP-000126,TURNOVER-056,733,EVS360-006,2032-01-06,2032-01-06T19:00,2032-01-06T21:20,Saint Petersburg,Moscow,679,true
TRIP-000127,TURNOVER-057,740,EVS360-024,2032-01-06,2032-01-06T19:00,2032-01-06T21:20,Moscow,Saint Petersburg,679,true
TRIP-000128,TURNOVER-058,779,EVS360-007,2032-01-06,2032-01-06T19:30,2032-01-06T21:50,Saint Petersburg,Moscow,679,true
TRIP-000129,TURNOVER-059,782,EVS360-025,2032-01-06,2032-01-06T19:30,2032-01-06T21:50,Moscow,Saint Petersburg,679,true
TRIP-000130,TURNOVER-060,759,EVS360-008,2032-01-06,2032-01-06T20:00,2032-01-06T22:10,Saint Petersburg,Moscow,679,true
TRIP-000131,TURNOVER-061,768,EVS360-026,2032-01-06,2032-01-06T20:00,2032-01-06T22:10,Moscow,Saint Petersburg,679,true
TRIP-000132,TURNOVER-062,744,EVS360-027,2032-01-06,2032-01-06T20:15,2032-01-06T22:35,Moscow,Saint Petersburg,679,true
TRIP-000133,TURNOVER-063,710,EVS360-028,2032-01-06,2032-01-06T20:30,2032-01-06T22:50,Moscow,Saint Petersburg,679,true
TRIP-000134,TURNOVER-064,751,EVS360-009,2032-01-06,2032-01-06T20:30,2032-01-06T22:50,Saint Petersburg,Moscow,679,true
TRIP-000135,TURNOVER-065,730,EVS360-029,2032-01-06,2032-01-06T21:00,2032-01-06T23:20,Moscow,Saint Petersburg,679,true
TRIP-000136,TURNOVER-066,771,EVS360-010,2032-01-06,2032-01-06T21:00,2032-01-06T23:20,Saint Petersburg,Moscow,679,true
TRIP-000137,TURNOVER-067,716,EVS360-030,2032-01-06,2032-01-06T21:30,2032-01-06T23:50,Moscow,Saint Petersburg,679,true
TRIP-000138,TURNOVER-068,725,EVS360-011,2032-01-06,2032-01-06T21:30,2032-01-06T23:50,Saint Petersburg,Moscow,679,true
TRIP-000139,TURNOVER-069,736,EVS360-031,2032-01-06,2032-01-06T22:00,2032-01-07T00:10,Moscow,Saint Petersburg,679,true
TRIP-000140,TURNOVER-070,739,EVS360-012,2032-01-06,2032-01-06T22:00,2032-01-07T00:10,Saint Petersburg,Moscow,679,true
TRIP-000141,TURNOVER-001,701,EVS360-013,2032-01-07,2032-01-07T06:00,2032-01-07T08:10,Saint Petersburg,Moscow,679,true
TRIP-000142,TURNOVER-002,702,EVS360-032,2032-01-07,2032-01-07T06:00,2032-01-07T08:10,Moscow,Saint Petersburg,679,true
TRIP-000143,TURNOVER-003,715,EVS360-014,2032-01-07,2032-01-07T06:15,2032-01-07T08:35,Saint Petersburg,Moscow,679,true
TRIP-000144,TURNOVER-004,726,EVS360-033,2032-01-07,2032-01-07T06:15,2032-01-07T08:35,Moscow,Saint Petersburg,679,true
TRIP-000145,TURNOVER-005,712,EVS360-034,2032-01-07,2032-01-07T06:30,2032-01-07T08:50,Moscow,Saint Petersburg,679,true
TRIP-000146,TURNOVER-006,721,EVS360-015,2032-01-07,2032-01-07T06:30,2032-01-07T08:50,Saint Petersburg,Moscow,679,true
TRIP-000147,TURNOVER-007,746,EVS360-035,2032-01-07,2032-01-07T07:00,2032-01-07T09:20,Moscow,Saint Petersburg,679,true
TRIP-000148,TURNOVER-008,753,EVS360-016,2032-01-07,2032-01-07T07:00,2032-01-07T09:20,Saint Petersburg,Moscow,679,true
TRIP-000149,TURNOVER-009,741,EVS360-017,2032-01-07,2032-01-07T07:15,2032-01-07T09:35,Saint Petersburg,Moscow,679,true
TRIP-000150,TURNOVER-010,735,EVS360-018,2032-01-07,2032-01-07T07:30,2032-01-07T09:50,Saint Petersburg,Moscow,679,true
TRIP-000151,TURNOVER-011,750,EVS360-036,2032-01-07,2032-01-07T07:30,2032-01-07T09:50,Moscow,Saint Petersburg,679,true
TRIP-000152,TURNOVER-012,758,EVS360-037,2032-01-07,2032-01-07T08:00,2032-01-07T10:10,Moscow,Saint Petersburg,679,true
TRIP-000153,TURNOVER-013,761,EVS360-019,2032-01-07,2032-01-07T08:00,2032-01-07T10:10,Saint Petersburg,Moscow,679,true
TRIP-000154,TURNOVER-014,773,EVS360-020,2032-01-07,2032-01-07T08:30,2032-01-07T10:50,Saint Petersburg,Moscow,679,true
TRIP-000155,TURNOVER-015,774,EVS360-038,2032-01-07,2032-01-07T08:30,2032-01-07T10:50,Moscow,Saint Petersburg,679,true
TRIP-000156,TURNOVER-016,703,EVS360-021,2032-01-07,2032-01-07T09:00,2032-01-07T11:20,Saint Petersburg,Moscow,679,false
TRIP-000157,TURNOVER-017,704,EVS360-039,2032-01-07,2032-01-07T09:00,2032-01-07T11:20,Moscow,Saint Petersburg,679,true
TRIP-000158,TURNOVER-018,722,EVS360-001,2032-01-07,2032-01-07T09:30,2032-01-07T11:50,Moscow,Saint Petersburg,679,false
TRIP-000159,TURNOVER-019,727,EVS360-022,2032-01-07,2032-01-07T09:30,2032-01-07T11:50,Saint Petersburg,Moscow,679,false
TRIP-000160,TURNOVER-020,745,EVS360-023,2032-01-07,2032-01-07T10:00,2032-01-07T12:10,Saint Petersburg,Moscow,679,false
TRIP-000161,TURNOVER-021,754,EVS360-002,2032-01-07,2032-01-07T10:00,2032-01-07T12:10,Moscow,Saint Petersburg,679,false
TRIP-000162,TURNOVER-022,713,EVS360-024,2032-01-07,2032-01-07T10:15,2032-01-07T12:35,Saint Petersburg,Moscow,679,false
TRIP-000163,TURNOVER-023,742,EVS360-003,2032-01-07,2032-01-07T10:15,2032-01-07T12:35,Moscow,Saint Petersburg,679,false
TRIP-000164,TURNOVER-024,718,EVS360-004,2032-01-07,2032-01-07T10:30,2032-01-07T12:50,Moscow,Saint Petersburg,679,false
TRIP-000165,TURNOVER-025,749,EVS360-025,2032-01-07,2032-01-07T10:30,2032-01-07T12:50,Saint Petersburg,Moscow,679,false
TRIP-000166,TURNOVER-026,757,EVS360-026,2032-01-07,2032-01-07T11:00,2032-01-07T13:20,Saint Petersburg,Moscow,679,false
TRIP-000167,TURNOVER-027,762,EVS360-005,2032-01-07,2032-01-07T11:00,2032-01-07T13:20,Moscow,Saint Petersburg,679,false
TRIP-000168,TURNOVER-028,707,EVS360-027,2032-01-07,2032-01-07T11:30,2032-01-07T13:50,Saint Petersburg,Moscow,679,false
TRIP-000169,TURNOVER-029,778,EVS360-006,2032-01-07,2032-01-07T11:30,2032-01-07T13:50,Moscow,Saint Petersburg,679,false
TRIP-000170,TURNOVER-030,705,EVS360-028,2032-01-07,2032-01-07T12:00,2032-01-07T14:10,Saint Petersburg,Moscow,679,false
TRIP-000171,TURNOVER-031,706,EVS360-007,2032-01-07,2032-01-07T12:00,2032-01-07T14:10,Moscow,Saint Petersburg,679,false
TRIP-000172,TURNOVER-032,714,EVS360-008,2032-01-07,2032-01-07T12:30,2032-01-07T14:50,Moscow,Saint Petersburg,679,false
TRIP-000173,TURNOVER-033,723,EVS360-029,2032-01-07,2032-01-07T12:30,2032-01-07T14:50,Saint Petersburg,Moscow,679,false
TRIP-000174,TURNOVER-034,748,EVS360-009,2032-01-07,2032-01-07T13:00,2032-01-07T15:20,Moscow,Saint Petersburg,679,false
TRIP-000175,TURNOVER-035,755,EVS360-030,2032-01-07,2032-01-07T13:00,2032-01-07T15:20,Saint Petersburg,Moscow,679,false
TRIP-000176,TURNOVER-036,784,EVS360-010,2032-01-07,2032-01-07T13:30,2032-01-07T15:50,Moscow,Saint Petersburg,679,false
TRIP-000177,TURNOVER-037,763,EVS360-031,2032-01-07,2032-01-07T14:00,2032-01-07T16:10,Saint Petersburg,Moscow,679,false
TRIP-000178,TURNOVER-038,766,EVS360-011,2032-01-07,2032-01-07T14:00,2032-01-07T16:10,Moscow,Saint Petersburg,679,false
TRIP-000179,TURNOVER-039,769,EVS360-032,2032-01-07,2032-01-07T14:30,2032-01-07T16:50,Saint Petersburg,Moscow,679,false
TRIP-000180,TURNOVER-040,776,EVS360-012,2032-01-07,2032-01-07T14:30,2032-01-07T16:50,Moscow,Saint Petersburg,679,false
TRIP-000181,TURNOVER-041,743,EVS360-033,2032-01-07,2032-01-07T15:00,2032-01-07T17:20,Saint Petersburg,Moscow,679,false
TRIP-000182,TURNOVER-042,752,EVS360-013,2032-01-07,2032-01-07T15:00,2032-01-07T17:20,Moscow,Saint Petersburg,679,false
TRIP-000183,TURNOVER-043,747,EVS360-034,2032-01-07,2032-01-07T16:00,2032-01-07T18:10,Saint Petersburg,Moscow,679,false
TRIP-000184,TURNOVER-044,756,EVS360-014,2032-01-07,2032-01-07T16:00,2032-01-07T18:10,Moscow,Saint Petersburg,679,false
TRIP-000185,TURNOVER-045,772,EVS360-015,2032-01-07,2032-01-07T16:30,2032-01-07T18:50,Moscow,Saint Petersburg,679,false
TRIP-000186,TURNOVER-046,775,EVS360-035,2032-01-07,2032-01-07T16:30,2032-01-07T18:50,Saint Petersburg,Moscow,679,false
TRIP-000187,TURNOVER-047,767,EVS360-036,2032-01-07,2032-01-07T17:00,2032-01-07T19:20,Saint Petersburg,Moscow,679,false
TRIP-000188,TURNOVER-048,764,EVS360-016,2032-01-07,2032-01-07T17:30,2032-01-07T19:50,Moscow,Saint Petersburg,679,false
TRIP-000189,TURNOVER-049,777,EVS360-037,2032-01-07,2032-01-07T17:30,2032-01-07T19:50,Saint Petersburg,Moscow,679,false
TRIP-000190,TURNOVER-050,708,EVS360-017,2032-01-07,2032-01-07T18:00,2032-01-07T20:10,Moscow,Saint Petersburg,679,false
