job_id,train_id,cycle_code,target_mileage_km,lower_bound_km,upper_bound_km,earliest_allowed_at,latest_allowed_at,downtime_hours,splittable,location,status,blocking_reason
JOB-000031,EVS360-021,IS200,2375000,2370000,2380000,2032-01-05T00:00,2032-01-11T19:50,4,false,Obukhovo,pending,
JOB-000032,EVS360-021,IS700,2400000,1920000,2880000,2032-01-05T00:00,2033-02-24T20:35,575,false,Obukhovo,pending,
JOB-000033,EVS360-022,IS700,2400000,1920000,2880000,2032-01-05T00:00,2033-06-04T16:10,575,false,Obukhovo,pending,
JOB-000034,EVS360-023,IS520,2250000,2220000,2280000,2032-01-05T00:00,2032-02-18T18:50,16,true,Obukhovo,pending,
JOB-000035,EVS360-023,IS700,2400000,1920000,2880000,2032-01-05T00:00,2033-06-25T09:50,575,false,Obukhovo,pending,
JOB-000036,EVS360-024,IS100,1987500,1986250,1988750,2032-01-08T14:10,2032-01-10T19:20,2,false,Obukhovo,pending,
JOB-000037,EVS360-024,IS700,2400000,1920000,2880000,2032-01-05T00:00,2034-01-10T18:50,575,false,Obukhovo,pending,
JOB-000038,EVS360-025,IS100,1837500,1836250,1838750,2032-01-09T08:35,2032-01-10T19:50,2,false,Obukhovo,pending,
JOB-000039,EVS360-026,IS700,2400000,1920000,2880000,2032-01-05T00:00,2034-01-15T20:35,575,false,Obukhovo,pending,
JOB-000040,EVS360-027,IS200,1900000,1895000,1905000,2032-01-05T00:00,2032-01-11T22:10,4,false,Obukhovo,pending,
JOB-000041,EVS360-028,IS510,1725000,1710000,1740000,2032-01-05T00:00,2032-01-23T18:10,10,true,Obukhovo,pending,
JOB-000042,EVS360-028,IS540,1800000,1680000,1920000,2032-01-05T00:00,2032-06-19T11:20,56,true,Obukhovo,pending,
JOB-000043,EVS360-029,IS100,1562500,1561250,1563750,2032-01-09T19:50,2032-01-11T23:20,2,false,Obukhovo,pending,
JOB-000044,EVS360-029,IS510,1575000,1560000,1590000,2032-01-09T10:10,2032-02-02T19:50,10,true,Obukhovo,pending,
JOB-000045,EVS360-030,IS100,1512500,1511250,1513750,2032-01-05T22:10,2032-01-08T08:50,2,false,Obukhovo,pending,
JOB-000046,EVS360-031,IS200,1550000,1545000,1555000,2032-01-05T00:00,2032-01-12T16:50,4,false,Obukhovo,pending,
JOB-000047,EVS360-032,IS200,1400000,1395000,1405000,2032-01-10T13:20,2032-01-18T19:50,4,false,Obukhovo,pending,
JOB-000048,EVS360-033,IS100,1462500,1461250,1463750,2032-01-05T12:50,2032-01-07T08:35,2,false,Obukhovo,pending,
JOB-000049,EVS360-033,IS530,1500000,1440000,1560000,2032-01-05T00:00,2032-03-26T10:10,36,true,Obukhovo,pending,
JOB-000050,EVS360-034,IS100,1312500,1311250,1313750,2032-01-10T14:10,2032-01-12T18:50,2,false,Obukhovo,pending,
JOB-000051,EVS360-035,IS600,1200000,960000,1440000,2032-01-05T00:00,2032-08-28T18:50,384,false,Obukhovo,pending,
JOB-000052,EVS360-036,IS200,1175000,1170000,1180000,2032-01-09T22:50,2032-01-18T12:10,4,false,Obukhovo,pending,
JOB-000053,EVS360-036,IS600,1200000,960000,1440000,2032-01-05T00:00,2032-08-18T18:50,384,false,Obukhovo,pending,
JOB-000054,EVS360-037,IS100,1037500,1036250,1038750,2032-01-05T14:50,2032-01-07T19:50,2,false,Obukhovo,pending,
JOB-000055,EVS360-037,IS520,1050000,1020000,1080000,2032-01-05T00:00,2032-02-10T09:35,16,true,Obukhovo,pending,
JOB-000056,EVS360-037,IS600,1200000,960000,1440000,2032-01-05T00:00,2032-12-02T00:10,384,false,Obukhovo,pending,
JOB-000057,EVS360-038,IS100,1062500,1061250,1063750,2032-01-11T08:50,2032-01-13T12:10,2,false,Obukhovo,pending,
JOB-000058,EVS360-038,IS600,1200000,960000,1440000,2032-01-05T00:00,2032-11-16T23:50,384,false,Obukhovo,pending,
JOB-000059,EVS360-039,IS510,975000,960000,990000,2032-01-05T00:00,2032-01-22T21:50,10,true,Obukhovo,pending,
JOB-000060,EVS360-039,IS600,1200000,960000,1440000,2032-01-05T00:00,2033-01-25T18:50,384,false,Obukhovo,pending,
