trip_id,train_id,service_date,departure_time,arrival_time,origin,destination,distance_km,mileage_before_km,mileage_after_km
TRIP-000032,EVS360-016,2032-01-05,2032-01-05T12:30,2032-01-05T14:50,Moscow,Saint Petersburg,679,2708277,2708956
TRIP-000033,EVS360-037,2032-01-05,2032-01-05T12:30,2032-01-05T14:50,Saint Petersburg,Moscow,679,1035879,1036558
TRIP-000034,EVS360-017,2032-01-05,2032-01-05T13:00,2032-01-05T15:20,Moscow,Saint Petersburg,679,2436746,2437425
TRIP-000035,EVS360-038,2032-01-05,2032-01-05T13:00,2032-01-05T15:20,Saint Petersburg,Moscow,679,1053869,1054548
TRIP-000036,EVS360-018,2032-01-05,2032-01-05T13:30,2032-01-05T15:50,Moscow,Saint Petersburg,679,2507570,2508249
TRIP-000037,EVS360-039,2032-01-05,2032-01-05T14:00,2032-01-05T16:10,Saint Petersburg,Moscow,679,968815,969494
TRIP-000038,EVS360-019,2032-01-05,2032-01-05T14:00,2032-01-05T16:10,Moscow,Saint Petersburg,679,2530089,2530768
TRIP-000039,EVS360-001,2032-01-05,2032-01-05T14:30,2032-01-05T16:50,Saint Petersburg,Moscow,679,3545208,3545887
TRIP-000040,EVS360-020,2032-01-05,2032-01-05T14:30,2032-01-05T16:50,Moscow,Saint Petersburg,679,2248298,2248977
TRIP-000041,EVS360-002,2032-01-05,2032-01-05T15:00,2032-01-05T17:20,Saint Petersburg,Moscow,679,3560708,3561387
TRIP-000042,EVS360-021,2032-01-05,2032-01-05T15:00,2032-01-05T17:20,Moscow,Saint Petersburg,679,2372486,2373165
TRIP-000043,EVS360-003,2032-01-05,2032-01-05T16:00,2032-01-05T18:10,Saint Petersburg,Moscow,679,3378199,3378878
TRIP-000044,EVS360-022,2032-01-05,2032-01-05T16:00,2032-01-05T18:10,Moscow,Saint Petersburg,679,2251241,2251920
TRIP-000045,EVS360-023,2032-01-05,2032-01-05T16:30,2032-01-05T18:50,Moscow,Saint Petersburg,679,2226107,2226786
TRIP-000046,EVS360-004,2032-01-05,2032-01-05T16:30,2032-01-05T18:50,Saint Petersburg,Moscow,679,3257176,3257855
TRIP-000047,EVS360-005,2032-01-05,2032-01-05T17:00,2032-01-05T19:20,Saint Petersburg,Moscow,679,3115700,3116379
TRIP-000048,EVS360-024,2032-01-05,2032-01-05T17:30,2032-01-05T19:50,Moscow,Saint Petersburg,679,1982454,1983133
TRIP-000049,EVS360-006,2032-01-05,2032-01-05T17:30,2032-01-05T19:50,Saint Petersburg,Moscow,679,3474504,3475183
TRIP-000050,EVS360-025,2032-01-05,2032-01-05T18:00,2032-01-05T20:10,Moscow,Saint Petersburg,679,1832088,1832767
TRIP-000051,EVS360-007,2032-01-05,2032-01-05T18:00,2032-01-05T20:10,Saint Petersburg,Moscow,679,3296622,3297301
TRIP-000052,EVS360-026,2032-01-05,2032-01-05T18:15,2032-01-05T20:35,Moscow,Saint Petersburg,679,1976255,1976934
TRIP-000053,EVS360-008,2032-01-05,2032-01-05T18:15,2032-01-05T20:35,Saint Petersburg,Moscow,679,3370447,3371126
TRIP-000054,EVS360-009,2032-01-05,2032-01-05T18:30,2032-01-05T20:50,Saint Petersburg,Moscow,679,3097917,3098596
TRIP-000055,EVS360-027,2032-01-05,2032-01-05T18:30,2032-01-05T20:50,Moscow,Saint Petersburg,679,1897501,1898180
TRIP-000056,EVS360-010,2032-01-05,2032-01-05T19:00,2032-01-05T21:20,Saint Petersburg,Moscow,679,3219031,3219710
TRIP-000057,EVS360-028,2032-01-05,2032-01-05T19:00,2032-01-05T21:20,Moscow,Saint Petersburg,679,1717732,1718411
TRIP-000058,EVS360-011,2032-01-05,2032-01-05T19:30,2032-01-05T21:50,Saint Petersburg,Moscow,679,2899885,2900564
TRIP-000059,EVS360-029,2032-01-05,2032-01-05T19:30,2032-01-05T21:50,Moscow,Saint Petersburg,679,1555821,1556500
TRIP-000060,EVS360-012,2032-01-05,2032-01-05T20:00,2032-01-05T22:10,Saint Petersburg,Moscow,679,3077146,3077825
TRIP-000061,EVS360-030,2032-01-05,2032-01-05T20:00,2032-01-05T22:10,Moscow,Saint Petersburg,679,1510648,1511327
TRIP-000062,EVS360-031,2032-01-05,2032-01-05T20:15,2032-01-05T22:35,Moscow,Saint Petersburg,679,1546275,1546954
TRIP-000063,EVS360-032,2032-01-05,2032-01-05T20:30,2032-01-05T22:50,Moscow,Saint Petersburg,679,1389233,1389912
TRIP-000064,EVS360-013,2032-01-05,2032-01-05T20:30,2032-01-05T22:50,Saint Petersburg,Moscow,679,2964101,2964780
TRIP-000065,EVS360-033,2032-01-05,2032-01-05T21:00,2032-01-05T23:20,Moscow,Saint Petersburg,679,1461716,1462395
TRIP-000066,EVS360-014,2032-01-05,2032-01-05T21:00,2032-01-05T23:20,Saint Petersburg,Moscow,679,2746763,2747442
TRIP-000067,EVS360-034,2032-01-05,2032-01-05T21:30,2032-01-05T23:50,Moscow,Saint Petersburg,679,1305149,1305828
TRIP-000068,EVS360-015,2032-01-05,2032-01-05T21:30,2032-01-05T23:50,Saint Petersburg,Moscow,679,2725284,2725963
TRIP-000069,EVS360-035,2032-01-05,2032-01-05T22:00,2032-01-06T00:10,Moscow,Saint Petersburg,679,1152631,1153310
TRIP-000070,EVS360-016,2032-01-05,2032-01-05T22:00,2032-01-06T00:10,Saint Petersburg,Moscow,679,2708956,2709635
TRIP-000071,EVS360-017,2032-01-06,2032-01-06T06:00,2032-01-06T08:10,Saint Petersburg,Moscow,679,2437425,2438104
TRIP-000072,EVS360-036,2032-01-06,2032-01-06T06:00,2032-01-06T08:10,Moscow,Saint Petersburg,679,1164858,1165537
TRIP-000073,EVS360-018,2032-01-06,2032-01-06T06:15,2032-01-06T08:35,Saint Petersburg,Moscow,679,2508249,2508928
TRIP-000074,EVS360-037,2032-01-06,2032-01-06T06:15,2032-01-06T08:35,Moscow,Saint Petersburg,679,1036558,1037237
TRIP-000075,EVS360-038,2032-01-06,2032-01-06T06:30,2032-01-06T08:50,Moscow,Saint Petersburg,679,1054548,1055227
TRIP-000076,EVS360-019,2032-01-06,2032-01-06T06:30,2032-01-06T08:50,Saint Petersburg,Moscow,679,2530768,2531447
TRIP-000077,EVS360-039,2032-01-06,2032-01-06T07:00,2032-01-06T09:20,Moscow,Saint Petersburg,679,969494,970173
TRIP-000078,EVS360-020,2032-01-06,2032-01-06T07:00,2032-01-06T09:20,Saint Petersburg,Moscow,679,2248977,2249656
TRIP-000079,EVS360-021,2032-01-06,2032-01-06T07:15,2032-01-06T09:35,Saint Petersburg,Moscow,679,2373165,2373844
TRIP-000080,EVS360-022,2032-01-06,2032-01-06T07:30,2032-01-06T09:50,Saint Petersburg,Moscow,679,2251920,2252599
TRIP-000081,EVS360-001,2032-01-06,2032-01-06T07:30,2032-01-06T09:50,Moscow,Saint Petersburg,679,3545887,3546566
TRIP-000082,EVS360-002,2032-01-06,2032-01-06T08:00,2032-01-06T10:10,Moscow,Saint Petersburg,679,3561387,3562066
TRIP-000083,EVS360-023,2032-01-06,2032-01-06T08:00,2032-01-06T10:10,Saint Petersburg,Moscow,679,2226786,2227465
TRIP-000084,EVS360-024,2032-01-06,2032-01-06T08:30,2032-01-06T10:50,Saint Petersburg,Moscow,679,1983133,1983812
TRIP-000085,EVS360-003,2032-01-06,2032-01-06T08:30,2032-01-06T10:50,Moscow,Saint Petersburg,679,3378878,3379557
TRIP-000086,EVS360-025,2032-01-06,2032-01-06T09:00,2032-01-06T11:20,Saint Petersburg,Moscow,679,1832767,1833446
TRIP-000087,EVS360-004,2032-01-06,2032-01-06T09:00,2032-01-06T11:20,Moscow,Saint Petersburg,679,3257855,3258534
TRIP-000088,EVS360-005,2032-01-06,2032-01-06T09:30,2032-01-06T11:50,Moscow,Saint Petersburg,679,3116379,3117058
TRIP-000089,EVS360-026,2032-01-06,2032-01-06T09:30,2032-01-06T11:50,Saint Petersburg,Moscow,679,1976934,1977613
TRIP-000090,EVS360-027,2032-01-06,2032-01-06T10:00,2032-01-06T12:10,Saint Petersburg,Moscow,679,1898180,1898859
TRIP-000091,EVS360-006,2032-01-06,2032-01-06T10:00,2032-01-06T12:10,Moscow,Saint Petersburg,679,3475183,3475862
TRIP-000092,EVS360-028,2032-01-06,2032-01-06T10:15,2032-01-06T12:35,Saint Petersburg,Moscow,679,1718411,1719090
TRIP-000093,EVS360-007,2032-01-06,2032-01-06T10:15,2032-01-06T12:35,Moscow,Saint Petersburg,679,3297301,3297980
TRIP-000094,EVS360-008,2032-01-06,2032-01-06T10:30,2032-01-06T12:50,Moscow,Saint Petersburg,679,3371126,3371805
TRIP-000095,EVS360-029,2032-01-06,2032-01-06T10:30,2032-01-06T12:50,Saint Petersburg,Moscow,679,1556500,1557179
TRIP-000096,EVS360-030,2032-01-06,2032-01-06T11:00,2032-01-06T13:20,Saint Petersburg,Moscow,679,1511327,1512006
TRIP-000097,EVS360-009,2032-01-06,2032-01-06T11:00,2032-01-06T13:20,Moscow,Saint Petersburg,679,3098596,3099275
TRIP-000098,EVS360-031,2032-01-06,2032-01-06T11:30,2032-01-06T13:50,Saint Petersburg,Moscow,679,1546954,1547633
TRIP-000099,EVS360-010,2032-01-06,2032-01-06T11:30,2032-01-06T13:50,Moscow,Saint Petersburg,679,3219710,3220389
TRIP-000100,EVS360-032,2032-01-06,2032-01-06T12:00,2032-01-06T14:10,Saint Petersburg,Moscow,679,1389912,1390591
TRIP-000101,EVS360-011,2032-01-06,2032-01-06T12:00,2032-01-06T14:10,Moscow,Saint Petersburg,679,2900564,2901243
TRIP-000102,EVS360-012,2032-01-06,2032-01-06T12:30,2032-01-06T14:50,Moscow,Saint Petersburg,679,3077825,3078504
TRIP-000103,EVS360-033,2032-01-06,2032-01-06T12:30,2032-01-06T14:50,Saint Petersburg,Moscow,679,1462395,1463074
TRIP-000104,EVS360-013,2032-01-06,2032-01-06T13:00,2032-01-06T15:20,Moscow,Saint Petersburg,679,2964780,2965459
TRIP-000105,EVS360-034,2032-01-06,2032-01-06T13:00,2032-01-06T15:20,Saint Petersburg,Moscow,679,1305828,1306507
TRIP-000106,EVS360-014,2032-01-06,2032-01-06T13:30,2032-01-06T15:50,Moscow,Saint Petersburg,679,2747442,2748121
TRIP-000107,EVS360-035,2032-01-06,2032-01-06T14:00,2032-01-06T16:10,Saint Petersburg,Moscow,679,1153310,1153989
TRIP-000108,EVS360-015,2032-01-06,2032-01-06T14:00,2032-01-06T16:10,Moscow,Saint Petersburg,679,2725963,2726642
TRIP-000109,EVS360-036,2032-01-06,2032-01-06T14:30,2032-01-06T16:50,Saint Petersburg,Moscow,679,1165537,1166216
TRIP-000110,EVS360-016,2032-01-06,2032-01-06T14:30,2032-01-06T16:50,Moscow,Saint Petersburg,679,2709635,2710314
TRIP-000111,EVS360-037,2032-01-06,2032-01-06T15:00,2032-01-06T17:20,Saint Petersburg,Moscow,679,1037237,1037916
TRIP-000112,EVS360-017,2032-01-06,2032-01-06T15:00,2032-01-06T17:20,Moscow,Saint Petersburg,679,2438104,2438783
TRIP-000113,EVS360-038,2032-01-06,2032-01-06T16:00,2032-01-06T18:10,Saint Petersburg,Moscow,679,1055227,1055906
TRIP-000114,EVS360-018,2032-01-06,2032-01-06T16:00,2032-01-06T18:10,Moscow,Saint Petersburg,679,2508928,2509607
TRIP-000115,EVS360-019,2032-01-06,2032-01-06T16:30,2032-01-06T18:50,Moscow,Saint Petersburg,679,2531447,2532126
TRIP-000116,EVS360-039,2032-01-06,2032-01-06T16:30,2032-01-06T18:50,Saint Petersburg,Moscow,679,970173,970852
TRIP-000117,EVS360-001,2032-01-06,2032-01-06T17:00,2032-01-06T19:20,Saint Petersburg,Moscow,679,3546566,3547245
TRIP-000118,EVS360-020,2032-01-06,2032-01-06T17:30,2032-01-06T19:50,Moscow,Saint Petersburg,679,2249656,2250335
TRIP-000119,EVS360-002,2032-01-06,2032-01-06T17:30,2032-01-06T19:50,Saint Petersburg,Moscow,679,3562066,3562745
TRIP-000120,EVS360-021,2032-01-06,2032-01-06T18:00,2032-01-06T20:10,Moscow,Saint Petersburg,679,2373844,2374523
TRIP-000121,EVS360-003,2032-01-06,2032-01-06T18:00,2032-01-06T20:10,Saint Petersburg,Moscow,679,3379557,3380236
TRIP-000122,EVS360-022,2032-01-06,2032-01-06T18:15,2032-01-06T20:35,Moscow,Saint Petersburg,679,2252599,2253278
TRIP-000123,EVS360-004,2032-01-06,2032-01-06T18:15,2032-01-06T20:35,Saint Petersburg,Moscow,679,3258534,3259213
TRIP-000124,EVS360-005,2032-01-06,2032-01-06T18:30,2032-01-06T20:50,Saint Petersburg,Moscow,679,3117058,3117737
TRIP-000125,EVS360-023,2032-01-06,2032-01-06T18:30,2032-01-06T20:50,Moscow,Saint Petersburg,679,2227465,2228144
TRIP-000126,EVS360-006,2032-01-06,2032-01-06T19:00,2032-01-06T21:20,Saint Petersburg,Moscow,679,3475862,3476541
TRIP-000127,EVS360-024,2032-01-06,2032-01-06T19:00,2032-01-06T21:20,Moscow,Saint Petersburg,679,1983812,1984491
TRIP-000128,EVS360-007,2032-01-06,2032-01-06T19:30,2032-01-06T21:50,Saint Petersburg,Moscow,679,3297980,3298659
TRIP-000129,EVS360-025,2032-01-06,2032-01-06T19:30,2032-01-06T21:50,Moscow,Saint Petersburg,679,1833446,1834125
TRIP-000130,EVS360-008,2032-01-06,2032-01-06T20:00,2032-01-06T22:10,Saint Petersburg,Moscow,679,3371805,3372484
TRIP-000131,EVS360-026,2032-01-06,2032-01-06T20:00,2032-01-06T22:10,Moscow,Saint Petersburg,679,1977613,1978292
TRIP-000132,EVS360-027,2032-01-06,2032-01-06T20:15,2032-01-06T22:35,Moscow,Saint Petersburg,679,1898859,1899538
TRIP-000133,EVS360-028,2032-01-06,2032-01-06T20:30,2032-01-06T22:50,Moscow,Saint Petersburg,679,1719090,1719769
TRIP-000134,EVS360-009,2032-01-06,2032-01-06T20:30,2032-01-06T22:50,Saint Petersburg,Moscow,679,3099275,3099954
TRIP-000135,EVS360-029,2032-01-06,2032-01-06T21:00,2032-01-06T23:20,Moscow,Saint Petersburg,679,1557179,1557858
TRIP-000136,EVS360-010,2032-01-06,2032-01-06T21:00,2032-01-06T23:20,Saint Petersburg,Moscow,679,3220389,3221068
TRIP-000137,EVS360-030,2032-01-06,2032-01-06T21:30,2032-01-06T23:50,Moscow,Saint Petersburg,679,1512006,1512685
TRIP-000138,EVS360-011,2032-01-06,2032-01-06T21:30,2032-01-06T23:50,Saint Petersburg,Moscow,679,2901243,2901922
TRIP-000139,EVS360-031,2032-01-06,2032-01-06T22:00,2032-01-07T00:10,Moscow,Saint Petersburg,679,1547633,1548312
TRIP-000140,EVS360-012,2032-01-06,2032-01-06T22:00,2032-01-07T00:10,Saint Petersburg,Moscow,679,3078504,3079183
TRIP-000141,EVS360-013,2032-01-07,2032-01-07T06:00,2032-01-07T08:10,Saint Petersburg,Moscow,679,2965459,2966138
TRIP-000142,EVS360-032,2032-01-07,2032-01-07T06:00,2032-01-07T08:10,Moscow,Saint Petersburg,679,1390591,1391270
TRIP-000143,EVS360-014,2032-01-07,2032-01-07T06:15,2032-01-07T08:35,Saint Petersburg,Moscow,679,2748121,2748800
TRIP-000144,EVS360-033,2032-01-07,2032-01-07T06:15,2032-01-07T08:35,Moscow,Saint Petersburg,679,1463074,1463753
TRIP-000145,EVS360-034,2032-01-07,2032-01-07T06:30,2032-01-07T08:50,Moscow,Saint Petersburg,679,1306507,1307186
TRIP-000146,EVS360-015,2032-01-07,2032-01-07T06:30,2032-01-07T08:50,Saint Petersburg,Moscow,679,2726642,2727321
TRIP-000147,EVS360-035,2032-01-07,2032-01-07T07:00,2032-01-07T09:20,Moscow,Saint Petersburg,679,1153989,1154668
TRIP-000148,EVS360-016,2032-01-07,2032-01-07T07:00,2032-01-07T09:20,Saint Petersburg,Moscow,679,2710314,2710993
TRIP-000149,EVS360-017,2032-01-07,2032-01-07T07:15,2032-01-07T09:35,Saint Petersburg,Moscow,679,2438783,2439462
TRIP-000150,EVS360-018,2032-01-07,2032-01-07T07:30,2032-01-07T09:50,Saint Petersburg,Moscow,679,2509607,2510286
TRIP-000151,EVS360-036,2032-01-07,2032-01-07T07:30,2032-01-07T09:50,Moscow,Saint Petersburg,679,1166216,1166895
TRIP-000152,EVS360-037,2032-01-07,2032-01-07T08:00,2032-01-07T10:10,Moscow,Saint Petersburg,679,1037916,1038595
TRIP-000153,EVS360-019,2032-01-07,2032-01-07T08:00,2032-01-07T10:10,Saint Petersburg,Moscow,679,2532126,2532805
TRIP-000154,EVS360-020,2032-01-07,2032-01-07T08:30,2032-01-07T10:50,Saint Petersburg,Moscow,679,2250335,2251014
TRIP-000155,EVS360-038,2032-01-07,2032-01-07T08:30,2032-01-07T10:50,Moscow,Saint Petersburg,679,1055906,1056585
TRIP-000156,EVS360-021,2032-01-07,2032-01-07T09:00,2032-01-07T11:20,Saint Petersburg,Moscow,679,2374523,2375202
TRIP-000157,EVS360-039,2032-01-07,2032-01-07T09:00,2032-01-07T11:20,Moscow,Saint Petersburg,679,970852,971531
TRIP-000158,EVS360-001,2032-01-07,2032-01-07T09:30,2032-01-07T11:50,Moscow,Saint Petersburg,679,3547245,3547924
TRIP-000159,EVS360-022,2032-01-07,2032-01-07T09:30,2032-01-07T11:50,Saint Petersburg,Moscow,679,2253278,2253957
TRIP-000160,EVS360-023,2032-01-07,2032-01-07T10:00,2032-01-07T12:10,Saint Petersburg,Moscow,679,2228144,2228823
TRIP-000161,EVS360-002,2032-01-07,2032-01-07T10:00,2032-01-07T12:10,Moscow,Saint Petersburg,679,3562745,3563424
TRIP-000162,EVS360-024,2032-01-07,2032-01-07T10:15,2032-01-07T12:35,Saint Petersburg,Moscow,679,1984491,1985170
TRIP-000163,EVS360-003,2032-01-07,2032-01-07T10:15,2032-01-07T12:35,Moscow,Saint Petersburg,679,3380236,3380915
TRIP-000164,EVS360-004,2032-01-07,2032-01-07T10:30,2032-01-07T12:50,Moscow,Saint Petersburg,679,3259213,3259892
TRIP-000165,EVS360-025,2032-01-07,2032-01-07T10:30,2032-01-07T12:50,Saint Petersburg,Moscow,679,1834125,1834804
TRIP-000166,EVS360-026,2032-01-07,2032-01-07T11:00,2032-01-07T13:20,Saint Petersburg,Moscow,679,1978292,1978971
TRIP-000167,EVS360-005,2032-01-07,2032-01-07T11:00,2032-01-07T13:20,Moscow,Saint Petersburg,679,3117737,3118416
TRIP-000168,EVS360-027,2032-01-07,2032-01-07T11:30,2032-01-07T13:50,Saint Petersburg,Moscow,679,1899538,1900217
TRIP-000169,EVS360-006,2032-01-07,2032-01-07T11:30,2032-01-07T13:50,Moscow,Saint Petersburg,679,3476541,3477220
TRIP-000170,EVS360-028,2032-01-07,2032-01-07T12:00,2032-01-07T14:10,Saint Petersburg,Moscow,679,1719769,1720448
TRIP-000171,EVS360-007,2032-01-07,2032-01-07T12:00,2032-01-07T14:10,Moscow,Saint Petersburg,679,3298659,3299338
TRIP-000172,EVS360-008,2032-01-07,2032-01-07T12:30,2032-01-07T14:50,Moscow,Saint Petersburg,679,3372484,3373163
TRIP-000173,EVS360-029,2032-01-07,2032-01-07T12:30,2032-01-07T14:50,Saint Petersburg,Moscow,679,1557858,1558537
TRIP-000174,EVS360-009,2032-01-07,2032-01-07T13:00,2032-01-07T15:20,Moscow,Saint Petersburg,679,3099954,3100633
TRIP-000175,EVS360-030,2032-01-07,2032-01-07T13:00,2032-01-07T15:20,Saint Petersburg,Moscow,679,1512685,1513364
TRIP-000176,EVS360-010,2032-01-07,2032-01-07T13:30,2032-01-07T15:50,Moscow,Saint Petersburg,679,3221068,3221747
TRIP-000177,EVS360-031,2032-01-07,2032-01-07T14:00,2032-01-07T16:10,Saint Petersburg,Moscow,679,1548312,1548991
TRIP-000178,EVS360-011,2032-01-07,2032-01-07T14:00,2032-01-07T16:10,Moscow,Saint Petersburg,679,2901922,2902601
TRIP-000179,EVS360-032,2032-01-07,2032-01-07T14:30,2032-01-07T16:50,Saint Petersburg,Moscow,679,1391270,1391949
TRIP-000180,EVS360-012,2032-01-07,2032-01-07T14:30,2032-01-07T16:50,Moscow,Saint Petersburg,679,3079183,3079862
TRIP-000181,EVS360-033,2032-01-07,2032-01-07T15:00,2032-01-07T17:20,Saint Petersburg,Moscow,679,1463753,1464432
TRIP-000182,EVS360-013,2032-01-07,2032-01-07T15:00,2032-01-07T17:20,Moscow,Saint Petersburg,679,2966138,2966817
TRIP-000183,EVS360-034,2032-01-07,2032-01-07T16:00,2032-01-07T18:10,Saint Petersburg,Moscow,679,1307186,1307865
TRIP-000184,EVS360-014,2032-01-07,2032-01-07T16:00,2032-01-07T18:10,Moscow,Saint Petersburg,679,2748800,2749479
TRIP-000185,EVS360-015,2032-01-07,2032-01-07T16:30,2032-01-07T18:50,Moscow,Saint Petersburg,679,2727321,2728000
TRIP-000186,EVS360-035,2032-01-07,2032-01-07T16:30,2032-01-07T18:50,Saint Petersburg,Moscow,679,1154668,1155347
TRIP-000187,EVS360-036,2032-01-07,2032-01-07T17:00,2032-01-07T19:20,Saint Petersburg,Moscow,679,1166895,1167574
TRIP-000188,EVS360-016,2032-01-07,2032-01-07T17:30,2032-01-07T19:50,Moscow,Saint Petersburg,679,2710993,2711672
TRIP-000189,EVS360-037,2032-01-07,2032-01-07T17:30,2032-01-07T19:50,Saint Petersburg,Moscow,679,1038595,1039274
TRIP-000190,EVS360-017,2032-01-07,2032-01-07T18:00,2032-01-07T20:10,Moscow,Saint Petersburg,679,2439462,2440141
TRIP-000191,EVS360-038,2032-01-07,2032-01-07T18:00,2032-01-07T20:10,Saint Petersburg,Moscow,679,1056585,1057264
TRIP-000192,EVS360-018,2032-01-07,2032-01-07T18:15,2032-01-07T20:35,Moscow,Saint Petersburg,679,2510286,2510965
TRIP-000193,EVS360-039,2032-01-07,2032-01-07T18:15,2032-01-07T20:35,Saint Petersburg,Moscow,679,971531,972210
TRIP-000194,EVS360-001,2032-01-07,2032-01-07T18:30,2032-01-07T20:50,Saint Petersburg,Moscow,679,3547924,3548603
TRIP-000195,EVS360-019,2032-01-07,2032-01-07T18:30,2032-01-07T20:50,Moscow,Saint Petersburg,679,2532805,2533484
TRIP-000196,EVS360-002,2032-01-07,2032-01-07T19:00,2032-01-07T21:20,Saint Petersburg,Moscow,679,3563424,3564103
TRIP-000197,EVS360-020,2032-01-07,2032-01-07T19:00,2032-01-07T21:20,Moscow,Saint Petersburg,679,2251014,2251693
TRIP-000198,EVS360-003,2032-01-07,2032-01-07T19:30,2032-01-07T21:50,Saint Petersburg,Moscow,679,3380915,3381594
TRIP-000199,EVS360-021,2032-01-07,2032-01-07T19:30,2032-01-07T21:50,Moscow,Saint Petersburg,679,2375202,2375881
TRIP-000200,EVS360-004,2032-01-07,2032-01-07T20:00,2032-01-07T22:10,Saint Petersburg,Moscow,679,3259892,3260571
TRIP-000201,EVS360-022,2032-01-07,2032-01-07T20:00,2032-01-07T22:10,Moscow,Saint Petersburg,679,2253957,2254636
TRIP-000202,EVS360-023,2032-01-07,2032-01-07T20:15,2032-01-07T22:35,Moscow,Saint Petersburg,679,2228823,2229502
TRIP-000203,EVS360-024,2032-01-07,2032-01-07T20:30,2032-01-07T22:50,Moscow,Saint Petersburg,679,1985170,1985849
TRIP-000204,EVS360-005,2032-01-07,2032-01-07T20:30,2032-01-07T22:50,Saint Petersburg,Moscow,679,3118416,3119095
